DATE,T_MAX_RUS,T_MIN_RUS,T_AVG_RUS,RH_RUS,WND_RUS,PRCP_RUS,ONI
2009-05-18,20.53333333333333,5.866666666666667,13.466666666666669,52.7,14.733333333333334,0.0,0.01
2009-05-19,21.133333333333336,6.766666666666667,13.966666666666669,44.26666666666667,13.666666666666666,1.0,0.01
2009-05-20,19.266666666666666,7.833333333333333,13.766666666666666,51.13333333333333,15.766666666666667,0.0,0.01
2009-05-21,21.2,6.666666666666667,14.1,62.79999999999999,16.233333333333334,3.0,0.01
2009-05-22,20.466666666666665,7.266666666666666,13.5,58.8,9.933333333333334,0.2666666666666666,0.01
2009-05-23,16.166666666666668,4.266666666666667,10.133333333333333,68.23333333333333,12.5,0.6,0.01
2009-05-24,15.6,4.1000000000000005,9.666666666666666,64.46666666666665,17.099999999999998,0.6,0.01
2009-05-25,18.266666666666666,6.033333333333334,12.2,51.6,12.2,0.0,0.01
2009-05-26,16.866666666666667,4.6000000000000005,11.3,68.66666666666667,12.933333333333332,0.0333333333333333,0.01
2009-05-27,12.566666666666668,4.666666666666667,8.866666666666667,71.43333333333334,14.4,0.0,0.01
2009-05-28,18.166666666666668,6.9,11.366666666666667,65.10000000000001,19.666666666666668,0.4333333333333333,0.01
2009-05-29,19.366666666666667,6.966666666666666,11.8,65.16666666666667,14.0,0.0,0.01
2009-05-30,20.7,10.466666666666669,16.333333333333332,60.56666666666666,9.333333333333334,0.0,0.01
2009-05-31,22.066666666666663,8.866666666666665,15.366666666666667,60.73333333333333,14.566666666666668,0.0999999999999999,0.01
2009-06-01,18.966666666666665,9.133333333333333,13.8,73.23333333333333,13.833333333333334,3.6,0.28
2009-06-02,20.933333333333334,9.733333333333333,14.666666666666666,71.89999999999999,10.1,0.0,0.28
2009-06-03,20.23333333333333,9.366666666666667,14.800000000000002,72.06666666666666,12.333333333333334,4.566666666666666,0.28
2009-06-04,20.266666666666666,9.1,14.633333333333336,64.43333333333334,15.5,0.6666666666666666,0.28
2009-06-05,15.9,8.799999999999999,12.466666666666669,73.86666666666666,16.8,1.7666666666666666,0.28
2009-06-06,17.166666666666668,9.3,12.633333333333333,80.26666666666667,10.066666666666666,1.6666666666666667,0.28
2009-06-07,17.966666666666665,10.233333333333333,13.933333333333332,76.36666666666666,12.166666666666666,0.6666666666666666,0.28
2009-06-08,23.03333333333333,10.933333333333332,16.766666666666666,66.26666666666667,12.766666666666666,0.0,0.28
2009-06-09,23.33333333333333,12.433333333333332,17.966666666666665,71.03333333333333,14.3,5.366666666666667,0.28
2009-06-10,21.666666666666668,11.633333333333333,17.2,68.7,11.733333333333334,1.6666666666666667,0.28
2009-06-11,22.166666666666668,9.6,16.833333333333332,61.6,13.7,4.333333333333333,0.28
2009-06-12,18.8,9.966666666666669,14.5,69.10000000000001,13.366666666666667,4.366666666666666,0.28
2009-06-13,18.0,9.466666666666669,13.4,73.06666666666666,11.133333333333336,3.6666666666666665,0.28
2009-06-14,18.066666666666663,9.866666666666667,13.933333333333332,74.0,14.866666666666667,1.1666666666666667,0.28
